,ID,Text,Racial Justice,count,date
58864,1267800659153367040,"Expert #dairy market commentary by Nate Donnay, Director Dairy Market Insight &amp; James Carr, Director West Coast Dairy for INTL FCStone Financial Inc. – FCM Division are featured on the #DairyVoice podcast. @ifcsdairy @INTL_EUDairy 
 https://t.co/nG3CBlTWqX",False,1,2020-06-02
58863,1267807394807103489,RT @CefetraD: @SergDettmer (de @INTLFCStone) es un gran conocedor de los mercados de productor agrícolas. Y da servicio a España y América…,False,2,2020-06-02
58862,1267807420031610880,RT @CefetraD: Todos estos ponentes participarán en el #WebinarCefetra sobre la 'Situación de las cosechas y la demanda' al que os invitamos…,False,3,2020-06-02
58861,1267834612061011975,"Con análisis sobre fundamentales y perspectivas para el futuro de los mercados agrícolas, nuestros expertos se unen en la Conferencia Global INTL FCStone - Mercados Agrícolas. 2 de junio de 2020, 1:00 p.m. (hora de Miami). Inscríbase hoy mismo. #ag #oatt https://t.co/JWWp3BWQjX",False,4,2020-06-02
58860,1267866064458625025,"Expand your knowledge about grain risk management, including spreads and inverse, short basis, options, and OTC products at the Grain Risk Academy 201 in Bowling Green, Ohio, on July 29 #grains #oatt #riskmanagement https://t.co/hKiGd1xjeZ",False,5,2020-06-02
58859,1267881183091855361,"Expert market commentary by Yousef Abbasi (@realNerdOnTheSt), Global Market Strategist for US Institutional Equities for INTL FCStone Financial Inc. is quoted by @nytimes #stockmarkets #coronavirus #covid19

https://t.co/mjS7TFEXmV",False,6,2020-06-02
58858,1267895037167312902,"Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @FT  #covid19 #stockmarket #ESG

https://t.co/WPjrQ7ceHZ",False,7,2020-06-02
58857,1267926478060208140,Don't forget to visit our @YouTube channel to learn more about INTL FCStone Inc! #financialservices #riskmanagement https://t.co/KqyN2vvAJT,False,8,2020-06-02
58856,1267957955271503874,"Our Securities team, offers a variety of services. Check out our Featured Insights page to see how we could help you! #equities #securities #algotrading #primebrokerage #outsourcedtrading  https://t.co/CJpvvyvtCf",False,9,2020-06-02
58855,1267989377029980169,We have expanded the offerings available to our clients in Asia! INTL FCStone is committed to providing unparalleled access and customer service to help clients meet their objectives across a wide array of markets. #commodities #globalpayments #financialservices https://t.co/D06BlDDBfk,False,1,2020-06-03
